portfolio_code,as_of_date,ticker,quantity
MAIN,1999-01-04,EURUSD,20000000
MAIN,1999-01-04,EURJPY,2000000000
MAIN,1999-01-04,EURGBP,-5000000
MAIN,1999-01-04,EURAUD,10000000
MAIN,1999-01-04,EURCHF,5000000
MAIN,1999-01-04,EURKRW,-10000000000
MAIN,1999-01-04,WTI,200000
MAIN,1999-01-04,BRENT,-100000
MAIN,1999-01-04,HENRYHUB,500000
MAIN,1999-01-04,GASOLINE_NYH,2000000
MAIN,1999-01-04,HEATOIL_NYH,-1000000
MAIN,1999-01-04,UST_3M,20000000
MAIN,1999-01-04,UST_2Y,50000000
MAIN,1999-01-04,UST_5Y,30000000
MAIN,1999-01-04,UST_10Y,40000000
MAIN,1999-01-04,UST_30Y,-10000000
