portfolio_code,as_of_date,ticker,quantity
CM_ENERGY,1999-01-04,WTI,300000
CM_ENERGY,1999-01-04,GASOLINE_NYH,3000000
CM_ENERGY,1999-01-04,HEATOIL_NYH,1000000
CM_ENERGY,1999-01-04,HENRYHUB,1000000
CM_ENERGY,1999-01-04,EURUSD,5000000
CM_RATES,1999-01-04,UST_3M,50000000
CM_RATES,1999-01-04,UST_2Y,100000000
CM_RATES,1999-01-04,UST_5Y,80000000
CM_RATES,1999-01-04,UST_10Y,60000000
CM_RATES,1999-01-04,UST_30Y,20000000
CM_DIVERSIFIED,1999-01-04,EURUSD,15000000
CM_DIVERSIFIED,1999-01-04,EURJPY,1500000000
CM_DIVERSIFIED,1999-01-04,EURGBP,8000000
CM_DIVERSIFIED,1999-01-04,EURAUD,8000000
CM_DIVERSIFIED,1999-01-04,WTI,40000
CM_DIVERSIFIED,1999-01-04,HENRYHUB,200000
CM_DIVERSIFIED,1999-01-04,UST_2Y,30000000
CM_DIVERSIFIED,1999-01-04,UST_5Y,30000000
CM_DIVERSIFIED,1999-01-04,UST_10Y,20000000
CM_HEDGED,1999-01-04,WTI,400000
CM_HEDGED,1999-01-04,BRENT,-400000
CM_HEDGED,1999-01-04,GASOLINE_NYH,2000000
CM_HEDGED,1999-01-04,HEATOIL_NYH,-2000000
CM_HEDGED,1999-01-04,UST_10Y,50000000
CM_HEDGED,1999-01-04,UST_5Y,-100000000
CM_HEDGED,1999-01-04,EURUSD,20000000
CM_HEDGED,1999-01-04,EURGBP,-15000000
